"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2000","2000","NBR","Number","0","Units",,,75991,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2001","2001","NBR","Number","0","Units",,,66243,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2002","2002","NBR","Number","0","Units",,,65748,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2003","2003","NBR","Number","0","Units",,,67031,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2004","2004","NBR","Number","0","Units",,,77008,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2005","2005","NBR","Number","0","Units",,,87273,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2006","2006","NBR","Number","0","Units",,,96128,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2007","2007","NBR","Number","0","Units",,,106994,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2008","2008","NBR","Number","0","Units",,,104212,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2009","2009","NBR","Number","0","Units",,,111121,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2010","2010","NBR","Number","0","Units",,,116804,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2011","2011","NBR","Number","0","Units",,,131845,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2012","2012","NBR","Number","0","Units",,,153552,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2013","2013","NBR","Number","0","Units",,,161306,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2014","2014","NBR","Number","0","Units",,,168512,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2015","2015","NBR","Number","0","Units",,,183011,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2016","2016","NBR","Number","0","Units",,,185128,,
"TUR","Turkiye","T-ACCI-TOT","Road injury accidents","2017","2017","NBR","Number","0","Units",,,182669,,
