Code,Country,Year,Death_injure,Death_rate
GBR,United Kingdom,2010,160080,3.035065038
GBR,United Kingdom,2011,157068,3.09838266
GBR,United Kingdom,2012,151346,2.828875852
GBR,United Kingdom,2013,144426,2.76009304
GBR,United Kingdom,2014,152407,2.869866951
GBR,United Kingdom,2015,146203,2.770431127
GBR,United Kingdom,2016,142846,2.834864869
GBR,United Kingdom,2017,136063,2.809615588
GBR,United Kingdom,2018,128384,2.767063619
GBR,United Kingdom,2019,123212,2.705115737
GBR,United Kingdom,2020,95422,2.259954384
LTU,Lithuania,2010,3530,9.65362534
LTU,Lithuania,2011,3266,9.775058081
LTU,Lithuania,2012,3391,10.10786295
LTU,Lithuania,2013,3391,8.655406299
LTU,Lithuania,2014,3225,9.105272294
LTU,Lithuania,2015,3033,8.330722811
LTU,Lithuania,2016,3201,6.694021507
LTU,Lithuania,2017,3055,6.752927359
LTU,Lithuania,2018,2925,6.17516847
LTU,Lithuania,2019,3188,6.656795998
LTU,Lithuania,2020,2817,6.297217954
CHE,Switzerland,2010,19609,4.178962337
CHE,Switzerland,2011,18990,4.044285942
CHE,Switzerland,2012,18148,4.239163342
CHE,Switzerland,2013,17473,3.325361531
CHE,Switzerland,2014,17803,2.967522481
CHE,Switzerland,2015,17736,3.054671619
CHE,Switzerland,2016,17577,2.579616397
CHE,Switzerland,2017,17799,2.721300924
CHE,Switzerland,2018,18033,2.736563269
CHE,Switzerland,2019,17761,2.180686811
CHE,Switzerland,2020,16897,2.628360988
MEX,Mexico,2010,27847,4.352591042
MEX,Mexico,2011,24905,3.801358926
MEX,Mexico,2012,24216,3.878092288
MEX,Mexico,2013,22036,3.281236432
MEX,Mexico,2014,18014,3.144028659
MEX,Mexico,2015,17264,2.910758993
MEX,Mexico,2016,12567,2.737296284
MEX,Mexico,2017,11883,2.340970186
MEX,Mexico,2018,12237,2.372598024
MEX,Mexico,2019,12056,2.386037529
MEX,Mexico,2020,11449,2.111178065
CAN,Canada,2010,125636,6.581406574
